Algeria|102.5735582988306
Saudi Arabia|153.40224430922123
Portugal|165.93831132983013
United States|176.76803209972468
France|166.03623108314497
Spain|175.5056114983314
Oman|171.28993195417036
Philippines|97.29854345223265
Bulgaria|130.91652412826332
Germany|190.67600765972273
Costa Rica|124.51586472691936
Netherlands|190.9968295894907
Japan|183.90521196419587
United Kingdom|174.24494679797672
Poland|148.22209086466327
South Africa|139.91155448305165
Canada|175.28085657229227
Romania|143.2518896120778
Norway|179.49561297981322
India|123.1343015511502
Greece|137.86044982950023
Australia|191.33476420999446
Venezuela|0
Denmark|200.40620264839598
Iran|90.5578834483054
New Zealand|183.9784655273147
Ethiopia|77.80582657364981
Russia|107.14884944973383
Brazil|100.3298804567293
Sweden|179.47041715858634
Lebanon|111.65390970417639
Uzbekistan|115.83504510794302
Pakistan|101.16162622592391
Ecuador|126.69703334865433
Ghana|28.737722500845404
Belarus|138.71721502531133
Czech Republic|162.6613110902555
Belgium|165.09403950141075
Morocco|104.83210503649114
Finland|196.78770870965022
Italy|151.14182500875467
Tunisia|121.71044804232284
Montenegro|138.80608684437496
United Arab Emirates|164.8809842163029
Iceland|183.4200942275565
Mexico|125.94122878189545
Lithuania|151.49182060877166
Bosnia And Herzegovina|128.72294085521833
Nigeria|57.69569697446809
Bermuda|194.36466346863335
Turkey|128.0559123063565
Colombia|111.05194004186001
Indonesia|109.61668436493834
Sri Lanka|96.54925411633108
Ukraine|98.74193725005102
Hungary|133.45655906536186
Kenya|81.65941225277089
Uruguay|121.53019617367735
Bolivia|99.84697655642182
Argentina|132.11186813773352
Bahrain|135.40556242485323
Cambodia|53.7805293070534
Thailand|105.03609750171877
China|100.31619221112328
Puerto Rico|143.0964714249182
South Korea|157.35077718471155
Israel|154.11879149197992
Nepal|84.25999678463712
Azerbaijan|95.79982716222554
Malaysia|120.39326082322842
Slovakia|156.56231330550764
Switzerland|193.65522037229672
Bangladesh|70.00559609227516
Egypt|83.84841545799847
Taiwan|166.46374745536028
Guatemala|109.65836851010422
Tanzania|95.02333303720044
Mozambique|100.188247008361
Chile|125.03927927683705
Namibia|131.80008058811035
Vietnam|82.67783660432175
Ireland|163.45454652634788
Jamaica|80.041424349942
Serbia|122.7484962403839
Austria|191.6617229976284
Uganda|66.27155430876482
Rwanda|0
Qatar|165.05024701249096
Croatia|161.8894710214431
Dominican Republic|78.01825710033016
Slovenia|176.25462555074324
Luxembourg|187.73258088445803
Moldova|106.9702019517099
Kazakhstan|95.5016304452063
Jordan|113.17596386356138
Zimbabwe|105.46865687279112
Trinidad And Tobago|93.55899686268938
Bahamas|137.86675515611543
Iraq|92.55905024996301
Peru|89.00004555054927
Malta|140.55399337340737
Cuba|61.889442580076626
El Salvador|88.53140550874542
Panama|111.76394338208272
Paraguay|124.41909332397763
Suriname|138.83206723018185
Georgia|120.75665675180885
Hong Kong|106.1619954652829
Mongolia|53.25155264212325
Singapore|151.0214053730705
Albania|107.77042208061387
Cyprus|164.9359619099401
Estonia|180.63041486857065
Latvia|145.469563503011
Macedonia|109.87104739797635
Kosovo (Disputed Territory)|139.21452405631396
Armenia|118.42177386433654
